year_month,total_orders,total_revenue,year_month_str,orders_MA3,revenue_MA3
2016-10,262,45670.7,2016-10,262.0,45670.7
2016-12,1,19.62,2016-12,131.5,22845.16
2017-01,741,126185.25,2017-01,334.6666666666667,57291.85666666667
2017-02,1641,269657.47,2017-02,794.3333333333334,131954.1133333333
2017-03,2516,405231.52,2017-03,1632.6666666666667,267024.74666666664
2017-04,2284,387280.54,2017-04,2147.0,354056.51
2017-05,3514,560598.7,2017-05,2771.3333333333335,451036.92
2017-06,3109,486752.04,2017-06,2969.0,478210.4266666667
2017-07,3842,561009.83,2017-07,3488.3333333333335,536120.19
2017-08,4165,638757.52,2017-08,3705.3333333333335,562173.13
2017-09,4117,696555.07,2017-09,4041.3333333333335,632107.4733333333
2017-10,4446,743984.8,2017-10,4242.666666666667,693099.13
2017-11,7232,1140840.87,2017-11,5265.0,860460.2466666667
2017-12,5459,830842.79,2017-12,5712.333333333333,905222.8200000002
2018-01,7010,1064516.53,2018-01,6567.0,1012066.7300000001
2018-02,6503,957406.02,2018-02,6324.0,950921.7799999999
2018-03,6948,1109280.24,2018-03,6820.333333333333,1043734.2633333333
2018-04,6752,1126141.24,2018-04,6734.333333333333,1064275.8333333333
2018-05,6721,1122420.22,2018-05,6807.0,1119280.5666666667
2018-06,6071,1008701.19,2018-06,6514.666666666667,1085754.2166666666
2018-07,6118,1014280.98,2018-07,6303.333333333333,1048467.4633333333
2018-08,6330,981721.72,2018-08,6173.0,1001567.9633333333
